,Load[MWh]
693,79.51239640261996
694,85.47730105640085
695,94.46406309915844
696,106.91796190142675
697,121.4701937998279
698,136.43960527897138
699,150.04424473500134
700,162.09633385662337
701,172.3154235193163
702,181.21336036343152
703,189.35076570985728
704,197.10030801364908
705,203.96577524226484
706,209.09420875260093
707,211.92365573742134
708,210.41963398948752
709,208.49914931704262
710,205.54352496204635
711,202.99619344039954
712,201.57890714074273
713,201.1746356475717
714,201.5284173348446
715,202.4058484903895
716,203.47887195759412
717,204.69007631839952
718,206.23627185324992
719,208.22318294856504
720,210.5688303295902
721,212.63010387665415
722,213.47310429395426
723,212.50124258351403
724,209.11184789375443
725,203.9358217067605
726,197.90699334593222
727,192.01811259016867
728,186.98588261801703
729,183.01383937003203
730,180.04822978508793
731,177.87398284627918
732,176.5813331469919
733,175.99286750951262
734,175.70245269518188
735,175.7688462260422
736,177.39875302681406
737,178.16598013150832
738,180.04724357515462
739,183.8565859506401
740,189.76096487057288
741,197.26301647829678
742,205.6599914036007
743,214.18045859537122
744,222.15381946238801
745,229.07700099788033
746,234.63040442795463
747,238.58426255218342
748,240.547011729176
749,240.2744655967649
750,237.51714642674486
751,231.99738525528454
752,223.91226456942644
753,214.0630679955766
754,203.8734731896411
755,194.55657835195888
756,187.08862389456567
757,181.0385617276092
758,175.6696322456039
759,170.1569409493656
760,163.86763465111488
761,156.89276011351706
762,149.48128005643525
763,141.65324139314728
764,133.78992317828886
765,125.81140272330912
766,117.93427243915721
767,110.1156643606204
768,102.58655569579126
769,95.51849476551563
770,89.4330020834184
771,84.50200437587627
772,81.04358960379875
773,78.75937500853682
774,77.2701160610505
775,76.01373297937951
776,74.68366383804712
777,73.2903167061232
778,72.15429726827314
779,71.20566726872846
780,70.66520791831883
781,70.5879954421616
782,70.57120795180776
783,70.78602174831008
784,70.96493107369481
785,71.43711952164612
786,72.26769546015711
787,73.71148554420847
788,75.84333515691043
789,79.54369047174443
790,85.51193276293574
791,94.50457582990052
792,106.967333352497
793,121.53030696987236
794,136.51075466540854
795,150.12519582845044
796,162.18461763832264
797,172.40871970657398
798,181.30970564012387
799,189.44863404390622
800,197.19861065702239
801,204.06364357631384
802,209.19084257726908
803,212.01854637534927
804,210.5123441566295
805,208.5896135695278
806,205.63173735043205
807,203.08258827401
808,201.66407043969372
809,201.25900172118762
810,201.61241751772835
811,202.48984867327323
812,203.563163663175
813,204.77502246268838
814,206.32244953219825
815,208.31139533695077
816,210.65987465274836
817,212.72419728924694
818,213.56966672530882
819,212.59911091756297
820,209.20927894375765
821,204.0314381767099
822,197.99992364245776
823,192.10813658388673
824,187.073152019719
825,183.09863975297228
826,180.13077830392868
827,177.95435386905535
828,176.6596724350521
829,176.06946361083257
830,175.77759415773744
831,175.84319046326263
832,177.4729515026859
833,178.24090443940165
834,180.12391106978822
835,183.93637690274335
