,osm_id,highway,length,geometry
17717,34591343,cycleway,12.4927058717557,"SRID=3857;LINESTRING(917573.66 7014277.87,917561.17 7014277.61)"
13709,309562913,cycleway,134.209582370306,"SRID=3857;LINESTRING(914261.66 7014538.71,914303.32 7014666.29)"
17715,22660800,cycleway,85.9779838113318,"SRID=3857;LINESTRING(917470.14 7014610.64,917396.25 7014566.68)"
17713,22660801,cycleway,202.125848649834,"SRID=3857;LINESTRING(917362.34 7014662.56,917389.6 7014585.47,917396.25 7014566.68,917398.77 7014560.01,917408.57 7014534.18,917432.51 7014473.03)"
13707,23228243,cycleway,12.4823715678775,"SRID=3857;LINESTRING(914256.42 7014515.09,914259.06 7014527.29)"
13711,309562914,cycleway,6.2654768362645,"SRID=3857;LINESTRING(914303.32 7014666.29,914308.93 7014669.08)"
17712,187765161,cycleway,53.3763028718954,"SRID=3857;LINESTRING(917432.51 7014473.03,917468.34 7014472.47,917485.88 7014472.21)"
13712,309562915,cycleway,6.68623960109158,"SRID=3857;LINESTRING(914308.93 7014669.08,914315.06 7014671.75)"
6436,23775175,cycleway,172.380260992377,"SRID=3857;LINESTRING(915179.14 7006552.23999999,915105.07 7006565.3,915084.83 7006569.83,915076.61 7006569.66,915008.42 7006568.22)"
13713,281022287,cycleway,3.11192866495826,"SRID=3857;LINESTRING(914320.54 7014677.38,914318.19 7014675.34)"
13714,23228247,cycleway,31.2443034811732,"SRID=3857;LINESTRING(914320.54 7014677.38,914351.46 7014672.89)"
13715,281022289,cycleway,49.9150621032043,"SRID=3857;LINESTRING(914318.19 7014675.34,914320.54 7014677.38,914332.61 7014722.6)"
19106,32134213,cycleway,347.631935204567,"SRID=3857;LINESTRING(912443.92 7018997.64,912429.37 7018992.16,912412.22 7018993.61,912380.42 7018998.57,912372.99 7018998.72,912364.95 7018997.66,912358.85 7018996.64,912349.25 7018981.47,912333.66 7018947.79,912325.85 7018923.19,912324.63 7018896.78,912322.4 7018876.99,912320.01 7018873.24,912298.4 7018839.22,912290.23 7018820.42,912287.01 7018813,912285.98 7018809.29,912273.95 7018766.09,912272.65 7018754.46)"
10469,10577041,cycleway,30.0519567535807,"SRID=3857;LINESTRING(913228.58 7009227.01,913228.08 7009217.88,913226.66 7009197.02)"
19054,25365168,cycleway,144.255790853456,"SRID=3857;LINESTRING(913330.86 7018185.21,913329.22 7018051.31,913324.1 7018042.32)"
20091,25561932,cycleway,47.6922069072055,"SRID=3857;LINESTRING(915103.05 7018061.29,915091.25 7018071.75,915060.22 7018079.25)"
